id,OF_distance_first4,OF_distance,OF_corner_pct,OF_periphery_pct,OF_immobile_pct,OF_center_pct,LD_distance_light,LD_transitions,LD_light_first4,LD_light_pct,VC_top_distance_first4,VC_top_time_first4,VC_top_distance,VC_top_time_pct,VC_top_velocity,VC_bottom_distance_first4,VC_bottom_time_first4,VC_bottom_distance,VC_bottom_time_pct,VC_bottom_velocity,VC_bottom_transitions,HP_latency,TS_frequency_climbing,TS_time_immobile,TS_latency_immobile,bw
283,787.16,3035.46,48.03,31.67,96.77,1.17,1762.57,19.00,127.89,31.08,1157.92,239.03,3973.58,95.81,3.52,69.08,0.97,777.21,4.19,24.95,14.00,18.39,0,102.50,15.22,28.9
284,1492.11,7633.98,27.83,9.63,82.39,5.75,2190.80,26.00,0.10,25.20,1967.94,239.17,5713.68,91.39,5.25,41.39,0.83,1103.16,8.61,19.37,5.00,15.19,0,79.15,8.81,24.3
285,450.83,2094.25,93.88,2.49,99.22,0.03,667.22,12.00,7.51,6.97,1525.28,205.63,3393.20,92.24,3.19,582.94,34.37,1232.42,7.76,12.75,12.00,12.49,3,148.42,4.40,29.7
286,597.66,3584.11,49.83,17.99,76.13,1.65,2624.80,20.00,77.91,46.32,1888.01,159.73,6601.02,73.13,7.74,1026.81,80.27,3424.81,26.87,10.64,41.00,8.05,0,123.19,0.73,25.1
287,2011.04,9686.45,29.42,14.66,66.82,6.25,6301.11,78.00,108.61,39.54,1693.75,123.02,6512.38,46.15,11.54,1555.33,116.98,5885.69,53.85,9.45,128.00,6.40,7,74.47,0.40,23.0
288,1018.50,5061.56,63.68,5.28,87.87,0.74,4946.23,56.00,122.42,44.50,1650.85,105.97,4551.21,42.99,9.69,1494.93,132.49,4979.17,56.88,7.63,49.00,6.69,3,147.41,4.27,26.0
289,1828.49,8699.12,39.80,14.50,69.37,6.34,5252.76,42.00,106.84,54.06,2398.30,175.38,7104.89,57.40,10.06,879.86,64.62,5513.07,42.60,11.47,53.00,10.35,9,57.59,0.47,21.2
290,1672.79,8587.86,30.02,10.73,71.22,6.98,4185.81,44.00,98.50,47.10,1607.30,136.20,6667.93,65.64,8.85,1707.38,103.80,4943.64,34.36,11.76,72.00,9.90,7,75.54,0.33,20.2
291,1427.27,6581.57,26.02,11.67,58.51,8.64,4023.57,35.00,75.14,49.96,1626.39,106.23,7909.94,59.01,11.73,1954.38,133.77,5675.19,40.99,11.71,72.00,6.83,0,33.90,4.74,25.5
292,902.96,3888.00,31.99,14.45,94.14,11.10,2424.95,30.00,98.06,35.46,1355.63,155.65,4917.48,75.36,5.69,942.24,84.35,2678.17,24.64,9.31,49.00,5.49,4,135.07,0.20,23.9
293,1244.96,5245.40,38.22,12.99,88.97,8.62,4934.71,37.00,66.50,61.13,1241.30,232.10,4130.48,75.93,4.72,100.32,7.90,2181.39,24.07,9.28,16.00,7.54,0,100.03,2.67,26.1
294,1425.70,4256.46,49.04,6.02,87.93,4.10,4884.10,53.00,115.72,42.28,1590.73,139.37,3581.59,69.78,5.14,1057.13,97.10,2573.22,29.93,8.53,51.00,10.24,0,103.70,15.22,25.5
295,1031.85,5774.13,36.82,14.03,88.89,1.73,3321.19,29.00,126.42,46.16,1637.83,188.05,4390.07,61.68,6.23,450.13,25.76,2333.04,36.13,9.61,17.00,28.07,0,160.69,1.94,33.7
296,497.94,2933.83,91.06,3.89,97.36,0.28,237.53,4.00,,,655.13,213.27,2650.59,92.15,2.49,148.03,9.21,987.23,6.39,25.77,11.00,6.02,0,167.90,4.80,26.3
297,444.79,3202.81,68.05,14.39,94.83,1.56,3555.40,23.00,161.99,67.02,1265.19,183.32,3210.44,39.54,6.77,705.17,38.23,4050.31,58.93,7.88,42.00,10.55,0,124.72,0.33,26.2
298,901.09,5360.41,49.99,14.42,86.17,1.94,4404.03,41.00,142.74,53.79,1949.20,221.85,5510.41,84.30,5.88,144.89,18.12,1951.76,15.70,13.70,40.00,17.41,0,75.21,6.67,22.5
